策略,是否失败,总分,回合数,seed,达到12+,达到14+
neural_ai,True,0,7,1200490,0,0
neural_ai,True,0,14,1200491,0,0
neural_ai,True,0,14,1200492,0,0
neural_ai,True,0,7,1200493,0,0
neural_ai,True,0,7,1200494,0,0
neural_ai,True,0,7,1200495,0,0
neural_ai,True,0,7,1200496,0,0
neural_ai,False,9,21,1200497,0,0
neural_ai,True,0,7,1200498,0,0
neural_ai,True,0,7,1200499,0,0
neural_ai,True,0,7,1200500,0,0
neural_ai,False,7,21,1200501,0,0
neural_ai,True,0,14,1200502,0,0
neural_ai,True,0,7,1200503,0,0
neural_ai,False,7,21,1200504,0,0
neural_ai,True,0,7,1200505,0,0
neural_ai,True,0,7,1200506,0,0
neural_ai,True,0,21,1200507,0,0
neural_ai,False,5,21,1200508,0,0
neural_ai,True,0,14,1200509,0,0
neural_ai,True,0,14,1200510,0,0
neural_ai,True,0,14,1200511,0,0
neural_ai,False,9,21,1200512,0,0
neural_ai,True,0,14,1200513,0,0
neural_ai,True,0,14,1200514,0,0
neural_ai,True,0,14,1200515,0,0
neural_ai,True,0,14,1200516,0,0
neural_ai,True,0,7,1200517,0,0
neural_ai,True,0,7,1200518,0,0
neural_ai,False,6,21,1200519,0,0
neural_ai,True,0,14,1200520,0,0
neural_ai,True,0,7,1200521,0,0
neural_ai,False,6,21,1200522,0,0
neural_ai,True,0,7,1200523,0,0
neural_ai,True,0,7,1200524,0,0
neural_ai,True,0,14,1200525,0,0
neural_ai,True,0,7,1200526,0,0
neural_ai,True,0,7,1200527,0,0
neural_ai,True,0,7,1200528,0,0
neural_ai,True,0,14,1200529,0,0
neural_ai,False,9,21,1200530,0,0
neural_ai,False,9,21,1200531,0,0
neural_ai,True,0,7,1200532,0,0
neural_ai,True,0,7,1200533,0,0
neural_ai,True,0,7,1200534,0,0
neural_ai,True,0,7,1200535,0,0
neural_ai,True,0,7,1200536,0,0
neural_ai,True,0,7,1200537,0,0
neural_ai,True,0,14,1200538,0,0
neural_ai,True,0,14,1200539,0,0
neural_ai,False,6,21,1200540,0,0
neural_ai,True,0,7,1200541,0,0
neural_ai,True,0,14,1200542,0,0
neural_ai,False,6,21,1200543,0,0
neural_ai,True,0,7,1200544,0,0
neural_ai,True,0,7,1200545,0,0
neural_ai,True,0,14,1200546,0,0
neural_ai,True,0,14,1200547,0,0
neural_ai,True,0,7,1200548,0,0
neural_ai,True,0,7,1200549,0,0
neural_ai,True,0,14,1200550,0,0
neural_ai,True,0,14,1200551,0,0
neural_ai,True,0,7,1200552,0,0
neural_ai,True,0,14,1200553,0,0
neural_ai,True,0,14,1200554,0,0
neural_ai,True,0,14,1200555,0,0
neural_ai,True,0,7,1200556,0,0
neural_ai,False,7,21,1200557,0,0
neural_ai,False,10,21,1200558,0,0
neural_ai,True,0,14,1200559,0,0
neural_ai,True,0,14,1200560,0,0
neural_ai,True,0,14,1200561,0,0
neural_ai,True,0,7,1200562,0,0
neural_ai,True,0,7,1200563,0,0
neural_ai,True,0,7,1200564,0,0
neural_ai,True,0,7,1200565,0,0
neural_ai,True,0,7,1200566,0,0
neural_ai,True,0,7,1200567,0,0
neural_ai,True,0,7,1200568,0,0
neural_ai,True,0,14,1200569,0,0
neural_ai,True,0,14,1200570,0,0
neural_ai,False,9,21,1200571,0,0
neural_ai,True,0,7,1200572,0,0
neural_ai,True,0,7,1200573,0,0
neural_ai,False,5,21,1200574,0,0
neural_ai,False,7,21,1200575,0,0
neural_ai,True,0,7,1200576,0,0
neural_ai,True,0,14,1200577,0,0
neural_ai,True,0,7,1200578,0,0
neural_ai,True,0,7,1200579,0,0
neural_ai,True,0,14,1200580,0,0
neural_ai,True,0,7,1200581,0,0
neural_ai,True,0,14,1200582,0,0
neural_ai,True,0,7,1200583,0,0
neural_ai,True,0,7,1200584,0,0
neural_ai,True,0,14,1200585,0,0
neural_ai,True,0,14,1200586,0,0
neural_ai,True,0,14,1200587,0,0
neural_ai,True,0,14,1200588,0,0
neural_ai,True,0,14,1200589,0,0
neural_ai,True,0,7,1200590,0,0
neural_ai,True,0,7,1200591,0,0
neural_ai,True,0,14,1200592,0,0
neural_ai,True,0,7,1200593,0,0
neural_ai,True,0,14,1200594,0,0
neural_ai,False,10,21,1200595,0,0
neural_ai,True,0,7,1200596,0,0
neural_ai,True,0,14,1200597,0,0
neural_ai,True,0,7,1200598,0,0
neural_ai,False,7,21,1200599,0,0
neural_ai,True,0,7,1200600,0,0
neural_ai,True,0,7,1200601,0,0
neural_ai,True,0,7,1200602,0,0
neural_ai,True,0,7,1200603,0,0
neural_ai,True,0,14,1200604,0,0
neural_ai,True,0,7,1200605,0,0
neural_ai,True,0,14,1200606,0,0
neural_ai,False,7,21,1200607,0,0
neural_ai,True,0,7,1200608,0,0
neural_ai,True,0,7,1200609,0,0
neural_ai,True,0,21,1200610,0,0
neural_ai,True,0,7,1200611,0,0
neural_ai,True,0,7,1200612,0,0
neural_ai,True,0,14,1200613,0,0
neural_ai,True,0,7,1200614,0,0
neural_ai,True,0,14,1200615,0,0
neural_ai,True,0,14,1200616,0,0
neural_ai,True,0,14,1200617,0,0
neural_ai,True,0,14,1200618,0,0
neural_ai,True,0,7,1200619,0,0
neural_ai,True,0,7,1200620,0,0
neural_ai,True,0,7,1200621,0,0
neural_ai,True,0,7,1200622,0,0
neural_ai,True,0,7,1200623,0,0
neural_ai,True,0,7,1200624,0,0
neural_ai,True,0,7,1200625,0,0
neural_ai,True,0,7,1200626,0,0
neural_ai,True,0,14,1200627,0,0
neural_ai,True,0,7,1200628,0,0
neural_ai,True,0,21,1200629,0,0
neural_ai,False,7,21,1200630,0,0
neural_ai,True,0,7,1200631,0,0
neural_ai,False,7,21,1200632,0,0
neural_ai,True,0,7,1200633,0,0
neural_ai,True,0,7,1200634,0,0
neural_ai,True,0,14,1200635,0,0
neural_ai,True,0,7,1200636,0,0
neural_ai,False,7,21,1200637,0,0
neural_ai,True,0,14,1200638,0,0
neural_ai,True,0,7,1200639,0,0
neural_ai,True,0,7,1200640,0,0
neural_ai,True,0,7,1200641,0,0
neural_ai,True,0,7,1200642,0,0
neural_ai,True,0,14,1200643,0,0
neural_ai,True,0,7,1200644,0,0
neural_ai,True,0,14,1200645,0,0
neural_ai,True,0,7,1200646,0,0
neural_ai,True,0,14,1200647,0,0
neural_ai,True,0,14,1200648,0,0
neural_ai,True,0,7,1200649,0,0
neural_ai,False,8,21,1200650,0,0
neural_ai,True,0,7,1200651,0,0
neural_ai,False,9,21,1200652,0,0
neural_ai,True,0,14,1200653,0,0
neural_ai,True,0,7,1200654,0,0
neural_ai,True,0,14,1200655,0,0
neural_ai,True,0,7,1200656,0,0
neural_ai,True,0,7,1200657,0,0
neural_ai,True,0,7,1200658,0,0
neural_ai,True,0,14,1200659,0,0
neural_ai,True,0,7,1200660,0,0
neural_ai,True,0,7,1200661,0,0
neural_ai,True,0,14,1200662,0,0
neural_ai,True,0,7,1200663,0,0
neural_ai,True,0,7,1200664,0,0
neural_ai,True,0,7,1200665,0,0
neural_ai,True,0,14,1200666,0,0
neural_ai,True,0,14,1200667,0,0
neural_ai,True,0,14,1200668,0,0
neural_ai,True,0,7,1200669,0,0
neural_ai,True,0,7,1200670,0,0
neural_ai,True,0,14,1200671,0,0
neural_ai,True,0,7,1200672,0,0
neural_ai,True,0,7,1200673,0,0
neural_ai,True,0,14,1200674,0,0
neural_ai,True,0,7,1200675,0,0
neural_ai,True,0,7,1200676,0,0
neural_ai,True,0,14,1200677,0,0
neural_ai,True,0,14,1200678,0,0
neural_ai,True,0,7,1200679,0,0
neural_ai,True,0,7,1200680,0,0
neural_ai,True,0,14,1200681,0,0
neural_ai,True,0,7,1200682,0,0
neural_ai,True,0,7,1200683,0,0
neural_ai,True,0,7,1200684,0,0
neural_ai,True,0,7,1200685,0,0
neural_ai,False,3,21,1200686,0,0
neural_ai,True,0,7,1200687,0,0
neural_ai,True,0,14,1200688,0,0
neural_ai,True,0,14,1200689,0,0
neural_ai,True,0,7,1200690,0,0
neural_ai,True,0,7,1200691,0,0
neural_ai,True,0,7,1200692,0,0
neural_ai,True,0,7,1200693,0,0
